"Gene","Frequency"
"NGF",10
"PARK7",8
"DOCK7",7
"DVL1",7
"MFSD2A",7
"NTRK1",7
"PCSK9",7
"PINK1",7
"TGFB2",7
"DISC1",6
"PPT1",6
"KIF14",5
"LMX1A",5
"SNAPIN",5
"C1QA",4
"ASTN1",3
"ATP1A2",3
"CHRNB2",3
"KDM1A",3
"LRRC7",3
"MYOC",3
"NCDN",3
"PBX1",3
"SLC30A10",3
"WNT2B",3
"AGRN",2
"ATP13A2",2
"CDC42",2
"CELSR2",2
"CHD5",2
"FCGR2B",2
"GFI1",2
"GLUL",2
"IL10",2
"LHX4",2
"NAV1",2
"P3H1",2
"PLXNA2",2
"PRUNE1",2
"ROR1",2
"SDCCAG8",2
"SLC6A17",2
"SPEN",2
"STXBP3",2
"UHMK1",2
"WNT4",2
"ACTN2",1
"AGT",1
"ARF1",1
"ATP2B4",1
"CASZ1",1
"CENPF",1
"CNTN2",1
"DHCR24",1
"DMBX1",1
"HSPG2",1
"IL6R",1
"KCNA2",1
"KIF1B",1
"KLHL17",1
"LAMC2",1
"LEPR",1
"LRP8",1
"MACF1",1
"MTR",1
"NDUFS2",1
"NES",1
"NPPA",1
"PHGDH",1
"PTPRC",1
"SLC16A1",1
"SLC2A1",1
"SLC6A9",1
"SVBP",1
"SYT2",1
"SZT2",1
"UFC1",1
"USH2A",1
