"","Term","Genes"
"1","regulation of immune effector process (GO:0002697)","C1QB"
"2","regulation of immune effector process (GO:0002697)","C1QA"
"3","regulation of immune effector process (GO:0002697)","CR2"
"4","regulation of immune effector process (GO:0002697)","CR1"
"5","regulation of immune effector process (GO:0002697)","CFH"
"6","regulation of immune effector process (GO:0002697)","C8B"
"7","regulation of immune effector process (GO:0002697)","C8A"
"8","regulation of immune effector process (GO:0002697)","CFHR2"
"9","regulation of immune effector process (GO:0002697)","CFHR1"
"10","regulation of immune effector process (GO:0002697)","CFHR4"
"11","regulation of immune effector process (GO:0002697)","CFHR5"
"12","regulation of immune effector process (GO:0002697)","CD46"
"13","regulation of immune effector process (GO:0002697)","FCGR2B"
"14","regulation of immune effector process (GO:0002697)","CD55"
"15","regulation of immune effector process (GO:0002697)","C1QC"
"16","regulation of humoral immune response (GO:0002920)","C1QB"
"17","regulation of humoral immune response (GO:0002920)","C1QA"
"18","regulation of humoral immune response (GO:0002920)","CR2"
"19","regulation of humoral immune response (GO:0002920)","CR1"
"20","regulation of humoral immune response (GO:0002920)","CFH"
"21","regulation of humoral immune response (GO:0002920)","C8B"
"22","regulation of humoral immune response (GO:0002920)","C8A"
"23","regulation of humoral immune response (GO:0002920)","CFHR2"
"24","regulation of humoral immune response (GO:0002920)","CFHR1"
"25","regulation of humoral immune response (GO:0002920)","CFHR4"
"26","regulation of humoral immune response (GO:0002920)","CFHR5"
"27","regulation of humoral immune response (GO:0002920)","CD46"
"28","regulation of humoral immune response (GO:0002920)","FCGR2B"
"29","regulation of humoral immune response (GO:0002920)","CD55"
"30","regulation of humoral immune response (GO:0002920)","C1QC"
"31","regulation of complement activation (GO:0030449)","C1QB"
"32","regulation of complement activation (GO:0030449)","C1QA"
"33","regulation of complement activation (GO:0030449)","CR2"
"34","regulation of complement activation (GO:0030449)","CR1"
"35","regulation of complement activation (GO:0030449)","CFH"
"36","regulation of complement activation (GO:0030449)","C8B"
"37","regulation of complement activation (GO:0030449)","C8A"
"38","regulation of complement activation (GO:0030449)","CFHR2"
"39","regulation of complement activation (GO:0030449)","CFHR1"
"40","regulation of complement activation (GO:0030449)","CFHR4"
"41","regulation of complement activation (GO:0030449)","CFHR5"
"42","regulation of complement activation (GO:0030449)","CD46"
"43","regulation of complement activation (GO:0030449)","CD55"
"44","regulation of complement activation (GO:0030449)","C1QC"
"45","regulation of heart contraction (GO:0008016)","RYR2"
"46","regulation of heart contraction (GO:0008016)","TGFB2"
"47","regulation of heart contraction (GO:0008016)","ATP2B4"
"48","regulation of heart contraction (GO:0008016)","ATP1A2"
"49","regulation of heart contraction (GO:0008016)","TNNI3K"
"50","regulation of heart contraction (GO:0008016)","ATP1A1"
"51","regulation of heart contraction (GO:0008016)","AGT"
"52","regulation of heart contraction (GO:0008016)","GJA5"
"53","regulation of heart contraction (GO:0008016)","RNF207"
"54","regulation of heart contraction (GO:0008016)","TNNT2"
"55","regulation of heart contraction (GO:0008016)","NPPA"
"56","regulation of heart contraction (GO:0008016)","CASQ2"
"57","regulation of heart contraction (GO:0008016)","CASQ1"
"58","regulation of cardiac conduction (GO:1903779)","RYR2"
"59","regulation of cardiac conduction (GO:1903779)","GJA5"
"60","regulation of cardiac conduction (GO:1903779)","NPPA"
"61","regulation of cardiac conduction (GO:1903779)","CASQ2"
"62","regulation of cardiac conduction (GO:1903779)","ATP2B4"
"63","regulation of cardiac conduction (GO:1903779)","ATP1A2"
"64","regulation of cardiac conduction (GO:1903779)","TNNI3K"
"65","regulation of cardiac conduction (GO:1903779)","CASQ1"
"66","regulation of cardiac conduction (GO:1903779)","ATP1A1"
"67","regulation of cardiac conduction (GO:1903779)","AGT"
"68","negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CR2"
"69","negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CR1"
"70","negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CD46"
"71","negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","FCGR2B"
"72","negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","CD55"
"73","tRNA aminoacylation for protein translation (GO:0006418)","SARS1"
"74","tRNA aminoacylation for protein translation (GO:0006418)","EPRS1"
"75","tRNA aminoacylation for protein translation (GO:0006418)","PARS2"
"76","tRNA aminoacylation for protein translation (GO:0006418)","DARS2"
"77","tRNA aminoacylation for protein translation (GO:0006418)","IARS2"
"78","tRNA aminoacylation for protein translation (GO:0006418)","TARS2"
"79","tRNA aminoacylation for protein translation (GO:0006418)","YARS1"
"80","tRNA aminoacylation for protein translation (GO:0006418)","WARS2"
"81","regulation of protein binding (GO:0043393)","SNAPIN"
"82","regulation of protein binding (GO:0043393)","KDM1A"
"83","regulation of protein binding (GO:0043393)","EPB41"
"84","regulation of protein binding (GO:0043393)","RPL11"
"85","regulation of protein binding (GO:0043393)","PARK7"
"86","regulation of protein binding (GO:0043393)","PEX14"
