"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","regulation of immune effector process (GO:0002697)","15/53",1.12467545832512e-11,2.41154460561806e-08,0,0,13.9212918660287,350.968874983458,"C1QB;C1QA;CR2;CR1;CFH;C8B;C8A;CFHR2;CFHR1;CFHR4;CFHR5;CD46;FCGR2B;CD55;C1QC"
"2","regulation of humoral immune response (GO:0002920)","15/54",1.51717181857066e-11,2.41154460561806e-08,0,0,13.5636363636364,337.891721780201,"C1QB;C1QA;CR2;CR1;CFH;C8B;C8A;CFHR2;CFHR1;CFHR4;CFHR5;CD46;FCGR2B;CD55;C1QC"
"3","regulation of complement activation (GO:0030449)","14/50",6.46720025633268e-11,6.85307653829386e-08,0,0,13.6915708812261,321.227429075778,"C1QB;C1QA;CR2;CR1;CFH;C8B;C8A;CFHR2;CFHR1;CFHR4;CFHR5;CD46;CD55;C1QC"
"4","regulation of heart contraction (GO:0008016)","13/93",2.0880539462297e-06,0.00165948087376605,0,0,5.69780344202899,74.523155503716,"RYR2;TGFB2;ATP2B4;ATP1A2;TNNI3K;ATP1A1;AGT;GJA5;RNF207;TNNT2;NPPA;CASQ2;CASQ1"
"5","regulation of cardiac conduction (GO:1903779)","10/55",2.78532148576072e-06,0.00177090740064667,0,0,7.76376376376376,99.3074455670088,"RYR2;GJA5;NPPA;CASQ2;ATP2B4;ATP1A2;TNNI3K;CASQ1;ATP1A1;AGT"
"6","negative regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002924)","5/10",3.96055255832622e-06,0.00209843276381984,0,0,34.6964285714286,431.59328170669,"CR2;CR1;CD46;FCGR2B;CD55"
"7","tRNA aminoacylation for protein translation (GO:0006418)","8/43",2.33998270702093e-05,0.0106268643223136,0,0,7.96101564503719,84.8865737308333,"SARS1;EPRS1;PARS2;DARS2;IARS2;TARS2;YARS1;WARS2"
"8","regulation of protein binding (GO:0043393)","13/118",2.94285133996967e-05,0.0116941555122045,0,0,4.3355762594893,45.2354365514103,"SNAPIN;KDM1A;EPB41;RPL11;PARK7;PEX14;CFHR2;CFHR1;DVL1;CFHR5;LDLRAP1;DISC1;NES"
"9","regulation of calcium ion transmembrane transport (GO:1903169)","6/23",3.31552412548531e-05,0.0117111679943531,0,0,12.2601283805114,126.454761649611,"NOS1AP;NPPA;PSEN2;CASQ2;ATP1A2;CASQ1"
"10","negative regulation of complement activation, classical pathway (GO:0045959)","4/8",4.02976329185776e-05,0.0128106175048158,0,0,34.6363636363636,350.49290838015,"CR2;CR1;CD46;CD55"
"11","peroxisome organization (GO:0007031)","6/25",5.54361537505832e-05,0.0150063933889663,0,0,10.9684587138688,107.493951014178,"SEC16B;ABCD3;PEX19;PEX11B;PEX10;PEX14"
"12","regulation of cardiac muscle contraction (GO:0055117)","7/36",5.66457126982057e-05,0.0150063933889663,0,0,8.39463601532567,82.0885789664802,"RYR2;RGS2;GJA5;RNF207;NPPA;TNNI3K;SLC9A1"
"13","negative regulation of production of molecular mediator of immune response (GO:0002701)","4/9",7.09140840246801e-05,0.0150290582076305,0,0,27.7076648841355,264.72018011087,"IL10;CR1;APOA2;FCGR2B"
"14","regulation of complement activation, classical pathway (GO:0030450)","4/9",7.09140840246801e-05,0.0150290582076305,0,0,27.7076648841355,264.72018011087,"CR2;CR1;CD46;CD55"
