"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Complement and coagulation cascades","19/85",2.06772854805954e-12,6.05844464581444e-10,0,0,10.2123154623155,274.757960618695,"C1QB;C1QA;CR2;CR1;CFH;SERPINC1;C8B;C8A;F5;CFHR2;CFHR1;CFHR4;CFHR3;CFHR5;MASP2;F13B;CD46;CD55;C1QC"
"2","Terpenoid backbone biosynthesis","6/22",2.51028718977881e-05,0.00367757073302595,0,0,13.0270572450805,137.989472535971,"FDPS;GGPS1;PMVK;HMGCS2;DHDDS;ZMPSTE24"
"3","Pathways in cancer","32/531",5.23362075676798e-05,0.00511150293911006,0,0,2.27829768354721,22.4590533033608,"NOTCH2;FH;CSF3R;WNT2B;HDAC1;IL23R;GNAI3;SLC2A1;PIK3CD;FASLG;LAMC2;CDC42;NRAS;AKT3;DVL1;TPR;PRKACB;IL6R;JAK1;IL12RB2;WNT4;EGLN1;NTRK1;TGFB2;LAMB3;TPM3;PLEKHG5;PTCH2;AGT;MTOR;TRAF5;GNB1"
"4","Thyroid hormone signaling pathway","12/121",0.000164062504860504,0.0120175784810319,0,0,3.84743766279012,33.5314313980044,"NOTCH2;NRAS;HDAC1;AKT3;SLC2A1;PIK3CD;ATP1A2;ATP1A1;PRKACB;MTOR;SLC9A1;WNT4"
"5","Coronavirus disease","17/232",0.000339081340703229,0.0198701665652092,0,0,2.77321337633678,22.1559519184078,"C1QB;RPL5;C1QA;RPL11;PIK3CD;ISG15;ADAR;C8B;C8A;SELP;FCGR2A;NLRP3;F13B;MASP2;IL6R;JAK1;C1QC"
"6","Peroxisome","9/82",0.000504013960079862,0.0207970577586445,0,0,4.29333793239381,32.5989138872916,"GNPAT;HMGCL;ABCD3;PEX19;SCP2;PEX11B;PMVK;PEX10;PEX14"
"7","Aminoacyl-tRNA biosynthesis","8/66",0.000524917180655974,0.0207970577586445,0,0,4.79836562867579,36.238553069334,"SARS1;EPRS1;PARS2;DARS2;TARS2;IARS2;YARS1;WARS2"
"8","Chagas disease","10/102",0.000620357613724619,0.0207970577586445,0,0,3.78828828828829,27.9773214069709,"IL10;C1QB;C1QA;TGFB2;AKT3;GNAI3;PIK3CD;FASLG;CD247;C1QC"
"9","Renal cell carcinoma","8/69",0.000709797193127798,0.0207970577586445,0,0,4.56167407363805,33.074560524564,"CDC42;EGLN1;FH;NRAS;TGFB2;AKT3;SLC2A1;PIK3CD"
"10","Renin secretion","8/69",0.000709797193127798,0.0207970577586445,0,0,4.56167407363805,33.074560524564,"NPPA;ADORA1;GNAI3;REN;CACNA1S;PRKACB;CLCA4;AGT"
"11","Regulation of lipolysis in adipocytes","7/55",0.000866941937319307,0.0230921806940506,0,0,5.06679360812425,35.7236236745264,"AKT3;NPPA;ADORA1;GNAI3;PIK3CD;PRKACB;TSHB"
"12","Thermogenesis","16/232",0.000963781501456177,0.023532331660555,0,0,2.59313229440734,18.00838567913,"KDM1A;BMP8B;SDHC;ARID1A;SDHB;MTOR;ADCY10;NRAS;CPT2;PRDM16;NPPA;NDUFS2;PRKACB;COA7;COA6;COX20"
"13","Adrenergic signaling in cardiomyocytes","12/150",0.00115746378081253,0.0260874529060054,0,0,3.03435804701627,20.5168849517754,"RYR2;TPM3;TNNT2;AKT3;GNAI3;ATP2B4;ATP1A2;CACNA1S;ATP1A1;PRKACB;AGT;SLC9A1"
"14","Cholinergic synapse","10/113",0.00137316438464894,0.0285869799131588,0,0,3.38178955654684,22.2881488410376,"CHRNB2;CHRM3;NRAS;AKT3;GNB1;GNAI3;KCNQ4;PIK3CD;CACNA1S;PRKACB"
