Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PATHWAYS IN CANCER	270/525	9.932936853323401E-18	3.4765278986631905E-15	0	0	2.1431311655096823	83.90503278039009	RB1;SPI1;EDNRA;EDNRB;TFG;AKT2;MYC;AKT3;LONP1;AKT1;IL12B;PRKACB;PRKCG;PRKCB;FLT3LG;RUNX1;AGTR1;TP53;CTBP2;CTBP1;EPAS1;PDGFB;PIK3R2;PIK3R1;HIF1A;TERT;PLCG2;HMOX1;PLCG1;FADD;JAG2;WNT10B;STAT5B;WNT10A;CREBBP;JUN;FZD2;JAG1;JUP;FZD5;FZD4;FZD6;FN1;IGF2;BRAF;IGF1;LPAR6;FASN;CALM3;CALM1;CALM2;RET;CDKN1B;MIA3;GLI1;BRCA2;GLI3;GLI2;IKBKB;SHH;MECOM;SUFU;HEY2;RAC2;IKBKG;JAK2;JAK3;HRAS;JAK1;APPL1;EDN1;IFNGR1;IFNGR2;NCOA3;KIF7;RHOA;DDB2;PLCB4;PAX8;KIT;RARB;PPARG;PLCB1;GNAI3;CXCR4;XIAP;EGFR;ADCY6;RELA;GNAI1;ADCY5;GNAI2;NRAS;STAT4;CTNNA1;STAT6;CTNNA3;CTNNA2;IL12RB1;LDLR;RUNX1T1;EGLN1;ARNT2;STAT1;CDKN2A;WNT7B;STAT2;STAT3;WNT7A;VEGFC;MLH1;KITLG;CTNNB1;KLKB1;CSF3R;ITGA2B;ETS1;FGF3;FGF4;IGF1R;FGF5;FGF8;CCND2;FGF9;EP300;IL6R;IFNAR2;PDGFRB;PDGFRA;MAP2K1;MAP2K2;TPM3;WNT5A;MITF;MSH6;MSH2;COL4A2;MSH3;COL4A1;COL4A4;COL4A3;COL4A5;IL6ST;IFNAR1;NOTCH2;CSF1R;NOTCH3;NOTCH1;MAX;CSF2RB;RASGRP2;STK4;CSF2RA;RASGRP1;FOXO1;KNG1;TPR;DVL1;ABL1;FGF20;DVL3;WNT1;FGF23;WNT3;WNT4;SMAD2;SMAD4;TGFB2;SMAD3;TGFB1;TGFB3;PTCH1;PTCH2;ESR1;NFKB1;IL2;ESR2;NFKB2;BMP4;NFKBIA;FGF17;FGF16;BMP2;CDK6;PROC;CDK4;IL7;GNB2;GNAQ;GNB1;GNAS;GNB4;CYCS;GNB3;GNB5;IL7R;FGF13;FGFR3;FGFR2;NFE2L2;FGFR1;FGF10;ALK;GSK3B;WNT2B;FLT3;LAMC3;PRKCSH;FLT4;PTEN;SLC2A1;FASLG;LAMC2;LMNB2;CKS1B;CASP8;ITGAV;POLK;CHUK;ITGA3;DCC;PLEKHG5;MMP2;AXIN1;AXIN2;MMP9;TGFBR1;TGFBR2;PIK3CA;IFNG;TRAF3;ITGA6;AGXT;SOS1;SOS2;CAMK2B;CEBPA;LAMA5;RALA;CAMK2D;LAMA2;LAMA1;CAMK2A;LEF1;LRP5;IL2RG;CBL;DLL1;LRP6;DLL3;CDC42;DLL4;FZR1;GNG3;GNA11;ERBB2;MAPK1;VHL;REPS1;NTRK1;TCF7L2;LAMB3;EGF;LAMB1;MTOR;EPOR;RAD51;IL2RA;IL2RB;BAX
AMINOACYL-TRNA BIOSYNTHESIS	40/45	1.6772528222315802E-14	2.9351924389052655E-12	0	0	15.934032983508246	505.41213510513245	AARS1;MTFMT;AARS2;KARS1;PARS2;YARS1;YARS2;FARS2;NARS1;QARS1;NARS2;IARS2;IARS1;VARS2;EARS2;VARS1;RARS2;HARS1;RARS1;MARS2;MARS1;GATC;GATB;DARS2;QRSL1;DARS1;WARS1;WARS2;GARS1;LARS2;SEPSECS;SARS1;SARS2;EPRS1;LARS1;FARSA;CARS1;CARS2;TARS1;FARSB
CYTOSKELETON IN MUSCLE CELLS	129/230	1.5336943303561445E-12	1.7893100520821687E-10	0	0	2.5596955532052217	69.63227277149815	ITGA2B;ENO3;ACTG2;ACTG1;COMP;DAG1;CAPN3;COL27A1;TPM4;ACTN2;TPM3;TPM2;TPM1;ANK2;ANK3;HSPG2;UNC13D;MYL4;MYL5;OBSCN;COL4A2;DAAM2;COL4A1;MYL2;COL4A4;COL4A3;PKP2;COL4A5;VCL;DSC3;FBN2;SPTBN4;CFH;MYH14;MYH11;MYH10;SPTBN1;SPTBN2;MYH7B;DTNA;JUP;FN1;NEB;COL1A1;DIAPH1;COL1A2;DIAPH3;COL5A1;COL5A2;COL9A1;COL9A3;COL9A2;FBN1;ITGB4;ITGB3;LMOD1;LDB3;FMN2;MYPN;LMOD3;SYNE2;LMNB2;LMOD2;LMNB1;SYNE1;SGCE;CSRP3;SGCD;TMEM43;SGCA;SGCB;ITGAV;ITGB6;SPTAN1;EMD;LBR;SGCG;MYBPC3;MYBPC1;TRIM63;ITGA3;TNNC2;BGN;AMPD1;AMPD2;AMPD3;DCN;ACTA1;VCAN;MYH2;INF2;MYH3;MYOT;TNNT1;TNNT2;COL6A2;TNNT3;COL6A1;MYH8;ITGA8;MYH9;COL6A3;ITGA7;DSG2;ITGA6;MYH6;MYH7;PLEC;LAMA2;LAMA1;COL11A1;COL11A2;ATP1A3;ATP1A2;THBS2;TTR;LMNA;TNNI2;DMD;TNNI3;FLNC;DSPP;COL3A1;DES;ACTC1;CAPZA2;TCAP;VIM;AGRN
DIABETIC CARDIOMYOPATHY	113/203	6.890342565133738E-11	6.029049744492021E-9	0	0	2.5122530443130717	58.78248864315969	NDUFA13;NCF1;NDUFA11;NCF2;IRS1;NDUFA12;NDUFA10;NCF4;COX6A1;NDUFC2-KCTD14;PPP1CB;MPC1;AKT2;AKT3;AKT1;PDK3;PRKCG;PRKCB;PRKCD;CYBB;SDHC;CYBA;SDHD;SDHA;SDHB;AGTR1;UQCRC1;COXFA4;UQCRC2;UQCRB;NDUFB10;NDUFB11;ATP5MC3;PIK3R2;PIK3R1;UQCRH;NDUFV2;NDUFV1;IVNS1ABP;SMAD2;PDHA2;TGFB2;ACE;PDHA1;SMAD3;TGFB1;TGFB3;INSR;GFPT1;NFKB1;COL1A1;COL1A2;PTPRA;RYR2;GSK3B;COX7B;COX4I1;PTEN;SLC2A1;ATP2A2;ATP2A1;GYS2;GYS1;CPT2;RAC2;UQCRFS1;CD36;CTSD;COX8A;MMP2;NDUFC2;NDUFC1;MMP9;TGFBR1;TGFBR2;PLCB4;NDUFS8;NDUFS7;PIK3CA;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PLCB1;AGXT;GAPDH;SLC25A4;CAMK2B;NDUFB9;CAMK2D;NDUFB8;NDUFB3;CAMK2A;PDHB;COX5A;RELA;INS;ATP5F1A;ATP5F1B;PLN;TNNI3;NDUFA9;NDUFA8;NDUFA6;GSR;NDUFA2;NDUFA1;ATP5F1D;ATP5F1E;MTOR;COL3A1;ATP5PO
PRIMARY IMMUNODEFICIENCY	32/38	1.6652972277224E-10	1.16570805940568E-8	0	0	10.609164420485175	238.8743261495928	CIITA;CD40;DCLRE1C;TNFRSF13B;AIRE;TNFRSF13C;CD3E;IL2RG;CD3D;UNG;CD79A;CD19;BLNK;IKBKG;RAG2;ICOS;JAK3;RAG1;RFXANK;AICDA;ZAP70;CD4;PTPRC;CD40LG;CD8A;LCK;RFX5;RFXAP;BTK;ORAI1;IL7R;ADA
BREAST CANCER	85/146	7.875291866891982E-10	4.5939202556869897E-8	0	0	2.7824682957005877	58.32643621235774	RB1;GSK3B;WNT2B;FLT4;PTEN;BRCA1;BRCA2;FGF3;FGF4;IGF1R;FGF5;FGF8;FGF9;AKT2;MYC;AKT3;HEY2;AKT1;TNFSF11;POLK;HRAS;MAP2K1;MAP2K2;NCOA3;WNT5A;AXIN1;AXIN2;DDB2;PIK3CA;KIT;SOS1;TP53;SOS2;NOTCH2;NOTCH3;NOTCH1;SHC1;LEF1;LRP5;PIK3R2;PIK3R1;DLL1;EGFR;DLL3;LRP6;DLL4;NRAS;DVL1;ERBB2;FGF20;DVL3;MAPK1;WNT1;FGF23;WNT3;WNT4;JAG2;WNT10B;TCF7L2;JUN;WNT10A;FZD2;JAG1;FZD5;FZD4;EGF;WNT7B;FZD6;WNT7A;BRAF;IGF1;ESR1;ESR2;MTOR;NFKB2;FGF17;FGF16;PROC;CDK6;CDK4;BAX;CTNNB1;FGF13;FGFR1;FGF10
INTEGRIN SIGNALING	87/153	2.5288858985041314E-9	1.2644429492520657E-7	0	0	2.6319849560073023	52.10142394797721	GSK3B;ITGB4;LAMC3;FLT4;ITGB3;ITGA2B;ITGB2;LAMC2;LMNB2;IGF1R;ACTG1;COMP;CCND2;AKT2;AKT3;KDR;RAC2;AKT1;TNR;ITGAV;ITGB6;PDGFRB;FGB;PDGFRA;FGA;VWF;ITGA3;ACTN1;NCOA3;TNNC1;FGG;ACTN4;COL2A1;COL4A2;PIK3CA;COL4A1;COL4A4;COL6A2;COL4A3;COL6A1;PXDN;ITGA8;COL4A5;COL6A3;ITGA7;ITGA6;SOS1;FREM1;VCL;FREM2;LAMA5;TNXB;LAMA2;LAMA1;SRC;PDGFB;PIK3R2;PIK3R1;THBS2;EGFR;C3;CDC42;FZR1;RELN;ERBB2;FLNA;FLNB;TGFB1;LAMB3;EGF;FN1;VEGFC;LAMB1;IGF1;MTOR;DSPP;COL1A1;FERMT1;COL1A2;FRAS1;COL9A1;CTNNB1;COL9A3;COL9A2;LIMS2;FERMT3;FBN1
CUSHING SYNDROME	85/151	7.403574002890039E-9	3.239063626264392E-7	0	0	2.5707032590051457	48.12691458342356	RB1;SCARB1;GSK3B;WNT2B;CDKN1B;MIA3;AHR;CREB3L3;CREB3L1;WDR5;PDE8B;PRKACB;MEN1;USP8;MAP2K1;MAP2K2;WNT5A;AXIN1;AXIN2;MRAP;NR5A1;PLCB4;ARMC5;CYP21A2;AGTR1;ORAI1;AIPL1;PLCB1;AGXT;CAMK2B;KMT2D;CAMK2D;KMT2A;LEF1;CAMK2A;ITPR1;GNAI3;ITPR2;CACNA1D;ITPR3;CACNA1C;CACNA1F;CACNA1H;EGFR;ADCY6;GNAI1;CACNA1G;GNAI2;ADCY5;CYP17A1;RAP1B;MC2R;CYP11A1;RBBP5;GNA11;DVL1;DVL3;MAPK1;CACNA1S;WNT1;LDLR;WNT3;WNT4;WNT10B;TCF7L2;WNT10A;FZD2;FZD5;HSD3B2;FZD4;CDKN2A;WNT7B;FZD6;WNT7A;BRAF;PBX1;POMC;PROC;CDK6;CDK4;CYP11B1;GNAQ;GNAS;CTNNB1;KCNK3
PROTEOGLYCANS IN CANCER	104/197	1.8599437081344197E-8	7.233114420522742E-7	0	0	2.234019903704355	39.76585480881738	HPSE2;IHH;TNF;IGF1R;ACTG1;PPP1CB;AKT2;MYC;AKT3;KDR;AKT1;PLCE1;IL12B;PRKACB;PRKCG;MAP2K1;MAP2K2;PRKCB;WNT5A;ANK2;ANK3;ANK1;HSPG2;TIAM1;TP53;TWIST2;ITPR1;TWIST1;ITPR2;PIK3R2;ITPR3;PIK3R1;HIF1A;SLC9A1;PLCG2;PLCG1;WNT1;WNT3;WNT4;SMAD2;WNT10B;WNT10A;TGFB2;FZD2;TGFB1;FZD5;CAV3;FZD4;CAV1;PTCH1;FZD6;RDX;FN1;IGF2;MSN;BRAF;IGF1;ESR1;COL1A1;COL1A2;FASN;FGF13;FGFR1;PIGU;WNT2B;ITGB3;FASLG;SHH;TIMP3;ITGAV;HRAS;PPP1R12A;MMP2;RRAS2;MMP9;RHOA;DCN;PIK3CA;PXDN;SOS1;SOS2;CAMK2B;CD63;CAMK2D;SRC;CAMK2A;CBL;HOXD10;EGFR;CDC42;NRAS;ERBB3;ERBB4;ERBB2;GPC3;FLNA;DROSHA;MAPK1;WNT7B;STAT3;WNT7A;PTPN11;MTOR;CTNNB1
DILATED CARDIOMYOPATHY	62/103	2.637278063046179E-8	8.616478997395173E-7	0	0	3.01369933374424	52.591866346941316	RYR2;ITGB4;ITGB3;ITGA2B;ATP2A2;ATP2A1;TNF;ACTG1;SGCE;SGCD;SGCA;SGCB;DAG1;ITGAV;ITGB6;PRKACB;EMD;SGCG;NANOS1;MYBPC3;TPM4;TPM3;ITGA3;CACNA2D1;TPM2;TPM1;CACNA2D2;CACNA2D4;CACNB1;CACNB2;CACNB4;MYL2;TNNT2;ITGA8;ITGA7;ITGA6;AGXT;MYH6;MYH7;LAMA2;LAMA1;ADRB1;CACNA1D;CACNA1C;CACNA1F;ADCY6;ADCY5;TTR;PLN;LMNA;DMD;TNNI3;CACNA1S;TGFB2;DTNA;TGFB1;CAV3;TGFB3;IGF1;DES;ACTC1;GNAS
