"Gene","Disease"
"APP","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PRKCG","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PDYN","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"STX1A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"GRIN2A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT10B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT10A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"FZD2","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"FZD5","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"FZD4","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"GRIN2B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"GRIN2D","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"FASN","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"SLC6A3","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"NEFH","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"TUBB","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"TUBB2B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"TUBB2A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"MAPT","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PRKN","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"RELA","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT7B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT7A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"CTNNB1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PARK7","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"TNF","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"TUBB3","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"KIF5C","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"KIF5B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"KIF5A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"NANOS1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"MAP2K1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT5A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"HTRA2","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PSEN1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"DVL1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"DVL3","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT3","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT4","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PRNP","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"CDK5","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"GNAQ","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"GSK3B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"WNT2B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"LRRK2","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"CASP8","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"SPG11","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"SIGMAR1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"ALS2","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"NDUFS4","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"NDUFS2","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"CAMK2B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"CAMK2D","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"DCTN1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"CAMK2A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"LRP6","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"SNCA","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"SOD1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"PINK1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"BAX","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"APP","ALZHEIMER DISEASE"
"TNF","ALZHEIMER DISEASE"
"TUBB3","ALZHEIMER DISEASE"
"KIF5C","ALZHEIMER DISEASE"
"KIF5B","ALZHEIMER DISEASE"
"KIF5A","ALZHEIMER DISEASE"
"AKT1","ALZHEIMER DISEASE"
"NANOS1","ALZHEIMER DISEASE"
"MAP2K1","ALZHEIMER DISEASE"
"WNT5A","ALZHEIMER DISEASE"
"PSEN1","ALZHEIMER DISEASE"
"GRIN2A","ALZHEIMER DISEASE"
"DVL1","ALZHEIMER DISEASE"
"DVL3","ALZHEIMER DISEASE"
"APOE","ALZHEIMER DISEASE"
"NAE1","ALZHEIMER DISEASE"
"WNT1","ALZHEIMER DISEASE"
"WNT3","ALZHEIMER DISEASE"
"WNT4","ALZHEIMER DISEASE"
"WNT10B","ALZHEIMER DISEASE"
"WNT10A","ALZHEIMER DISEASE"
"FZD2","ALZHEIMER DISEASE"
"FZD5","ALZHEIMER DISEASE"
"FZD4","ALZHEIMER DISEASE"
"INSR","ALZHEIMER DISEASE"
"GRIN2B","ALZHEIMER DISEASE"
"GRIN2D","ALZHEIMER DISEASE"
"CDK5","ALZHEIMER DISEASE"
"FASN","ALZHEIMER DISEASE"
"GNAQ","ALZHEIMER DISEASE"
"GSK3B","ALZHEIMER DISEASE"
"WNT2B","ALZHEIMER DISEASE"
"CASP8","ALZHEIMER DISEASE"
"TUBB","ALZHEIMER DISEASE"
"TUBB2B","ALZHEIMER DISEASE"
"TUBB2A","ALZHEIMER DISEASE"
"NDUFS4","ALZHEIMER DISEASE"
"NDUFS2","ALZHEIMER DISEASE"
"MAPT","ALZHEIMER DISEASE"
"GAPDH","ALZHEIMER DISEASE"
"RELA","ALZHEIMER DISEASE"
"INS","ALZHEIMER DISEASE"
"LRP6","ALZHEIMER DISEASE"
"APBB1","ALZHEIMER DISEASE"
"SNCA","ALZHEIMER DISEASE"
"WNT7B","ALZHEIMER DISEASE"
"WNT7A","ALZHEIMER DISEASE"
"CTNNB1","ALZHEIMER DISEASE"
"SERPINE1","CHAGAS DISEASE"
"TNF","CHAGAS DISEASE"
"CASP8","CHAGAS DISEASE"
"AKT1","CHAGAS DISEASE"
"TGFBR1","CHAGAS DISEASE"
"TGFBR2","CHAGAS DISEASE"
"IFNG","CHAGAS DISEASE"
"C1QA","CHAGAS DISEASE"
"RELA","CHAGAS DISEASE"
"C3","CHAGAS DISEASE"
"SMAD2","CHAGAS DISEASE"
"TGFB2","CHAGAS DISEASE"
"TGFB1","CHAGAS DISEASE"
"TGFB3","CHAGAS DISEASE"
"FASN","CHAGAS DISEASE"
"GNAQ","CHAGAS DISEASE"
"CALR","CHAGAS DISEASE"
"TNF","PRION DISEASE"
"TUBB3","PRION DISEASE"
"KIF5C","PRION DISEASE"
"KIF5B","PRION DISEASE"
"KIF5A","PRION DISEASE"
"NOTCH1","PRION DISEASE"
"GRIN2A","PRION DISEASE"
"PRNP","PRION DISEASE"
"GRIN2B","PRION DISEASE"
"GRIN2D","PRION DISEASE"
"GSK3B","PRION DISEASE"
"TUBB","PRION DISEASE"
