"Gene","Frequency"
".",1
"A4GALT",1
"AAAS",1
"AAGAB",1
"AARS1",1
"AARS2",1
"AASS",1
"ABAT",1
"ABCA1",1
"ABCA12",1
"ABCA13",1
"ABCA2",1
"ABCA3",1
"ABCA4",1
"ABCA5",1
"ABCA7",1
"ABCA8",1
"ABCB1",1
"ABCB11",1
"ABCB4",1
"ABCB6",1
"ABCB7",1
"ABCC1",1
"ABCC2",1
"ABCC6",1
"ABCC8",1
"ABCC9",1
"ABCD1",1
"ABCD3",1
"ABCD4",1
"ABCG5",1
"ABCG8",1
"ABHD12",1
"ABHD14A-ACY1",1
"ABHD16A",1
"ABHD5",1
"ABL1",1
"ACACA",1
"ACAD8",1
"ACAD9",1
"ACADM",1
"ACADS",1
"ACADSB",1
"ACADVL",1
"ACAN",1
"ACAT1",1
"ACBD5",1
"ACBD6",1
"ACD",1
"ACE",1
"ACER3",1
"ACKR1",1
"ACKR3",1
"ACO2",1
"ACOT1",1
"ACOX1",1
"ACOX2",1
"ACP4",1
"ACP5",1
"ACR",1
"ACSF3",1
"ACSL4",1
"ACSL5",1
"ACSM3",1
"ACTA1",1
"ACTA2",1
"ACTA2-AS1",1
"ACTB",1
"ACTC1",1
"ACTG1",1
"ACTG2",1
"ACTL6B",1
"ACTL7A",1
"ACTL9",1
"ACTN1",1
"ACTN2",1
"ACTN4",1
"ACTRT3",1
"ACVR1",1
"ACVR1B",1
"ACVRL1",1
"ACY1",1
"ADA",1
"ADA2",1
"ADAD2",1
"ADAM10",1
"ADAM17",1
"ADAM22",1
"ADAM9",1
"ADAMTS10",1
"ADAMTS13",1
"ADAMTS15",1
"ADAMTS17",1
"ADAMTS18",1
"ADAMTS19",1
"ADAMTS2",1
"ADAMTS3",1
"ADAMTSL2",1
"ADAMTSL4",1
"ADAMTSL4-AS2",1
"ADAR",1
"ADARB1",1
"ADAT3",1
"ADCY10",1
"ADCY3",1
"ADCY5",1
"ADCY6",1
"ADGRG1",1
"ADGRG2",1
"ADGRG6",1
"ADGRL1",1
"ADGRL1-AS1",1
"ADGRV1",1
"ADH5",1
"ADIPOQ",1
"ADIPOQ-AS1",1
"ADIPOR1",1
"ADK",1
"ADNP",1
"ADNP-AS1",1
"ADPRS",1
"ADRA2A",1
"ADRB1",1
"ADSL",1
"ADSS1",1
"AEBP1",1
"AFF2",1
"AFF3",1
"AFF4",1
"AFG2A",1
"AFG2B",1
"AFG3L2",1
"AFP",1
"AGA",1
"AGBL5",1
"AGK",1
"AGL",1
"AGMO",1
"AGO1",1
"AGO2",1
"AGPAT2",1
"AGPAT3",1
"AGPAT5",1
"AGPS",1
"AGR2",1
"AGRN",1
"AGT",1
"AGTPBP1",1
"AGTR1",1
"AGXT",1
"AHCY",1
"AHDC1",1
"AHI1",1
"AHR",1
"AICDA",1
"AIFM1",1
"AIMP1",1
"AIMP2",1
"AIP",1
"AIPL1",1
"AIRE",1
"AK1",1
"AK2",1
"AK9",1
"AKAP19",1
"AKAP3",1
"AKR1C2",1
"AKR1D1",1
"AKT1",1
"AKT2",1
"AKT3",1
"ALAD",1
"ALAS2",1
"ALB",1
"ALDH18A1",1
"ALDH1A2",1
"ALDH1A3",1
"ALDH1A3-AS1",1
"ALDH3A2",1
"ALDH4A1",1
"ALDH5A1",1
"ALDH6A1",1
"ALDH7A1",1
"ALDOA",1
"ALDOB",1
"ALG1",1
"ALG11",1
"ALG12",1
"ALG13",1
"ALG14",1
"ALG14-AS1",1
"ALG2",1
"ALG3",1
"ALG5",1
"ALG6",1
"ALG8",1
"ALG9",1
"ALK",1
"ALKBH8",1
"ALMS1",1
"ALMS1-IT1",1
"ALOX12B",1
"ALOXE3",1
"ALPK1",1
"ALPK3",1
"ALPL",1
"ALS2",1
"ALX1",1
"ALX3",1
"ALX4",1
"AMACR",1
"AMBN",1
"AMD1",1
"AMELX",1
"AMER1",1
"AMFR",1
"AMH",1
"AMHR2",1
"AMMECR1",1
"AMN",1
"AMOTL1",1
"AMPD1",1
"AMPD2",1
"AMPD3",1
"AMT",1
"AMTN",1
"ANAPC1",1
"ANAPC15",1
"ANAPC7",1
"ANG",1
"ANGPT2",1
"ANGPTL3",1
"ANK1",1
"ANK2",1
"ANK3",1
"ANKH",1
"ANKLE2",1
"ANKRD11",1
"ANKRD17",1
"ANKRD26",1
"ANKRD31",1
"ANKRD34C-AS1",1
"ANKS3",1
"ANKS6",1
"ANLN",1
"ANO1",1
"ANO10",1
"ANO3",1
"ANO4",1
"ANO5",1
"ANO6",1
"ANOS1",1
"ANTXR1",1
"ANTXR2",1
"ANXA11",1
"AOPEP",1
"AP1B1",1
"AP1G1",1
"AP1S1",1
"AP1S2",1
"AP2S1",1
"AP3B1",1
"AP3B2",1
"AP3D1",1
"AP4B1",1
"AP4B1-AS1",1
"AP4E1",1
"AP4M1",1
"AP4S1",1
"AP5B1",1
"AP5Z1",1
"APBB1",1
"APC",1
"APC2",1
"APCDD1",1
"APOA1",1
"APOA1-AS",1
"APOA2",1
"APOA4",1
"APOA5",1
"APOB",1
"APOC2",1
"APOC3",1
"APOC4-APOC2",1
"APOE",1
"APOO",1
"APP",1
"APPL1",1
"APRT",1
"APTX",1
"AQP1",1
"AQP2",1
"AQP4",1
"AQP5",1
"AQP5-AS1",1
"AR",1
"ARCN1",1
"ARF1",1
"ARF3",1
"ARFGEF1",1
"ARFGEF2",1
"ARG1",1
"ARHGAP19",1
"ARHGAP19-SLIT1",1
"ARHGAP29",1
"ARHGAP31",1
"ARHGAP32",1
"ARHGAP35",1
"ARHGAP4",1
"ARHGAP5",1
"ARHGAP6",1
"ARHGDIA",1
"ARHGEF18",1
"ARHGEF2",1
"ARHGEF9",1
"ARID1A",1
"ARID1B",1
"ARID2",1
"ARL13B",1
"ARL14EP-DT",1
"ARL2",1
"ARL2-SNX15",1
"ARL2BP",1
"ARL3",1
"ARL6",1
"ARL6IP1",1
"ARMC12",1
"ARMC2",1
"ARMC2-AS1",1
"ARMC5",1
"ARMC9",1
"ARMCX5-GPRASP2",1
"ARMS2",1
"ARNT2",1
"ARNT2-AS1",1
"ARPC1B",1
"ARPC5",1
"ARR3",1
"ARSA",1
"ARSB",1
"ARSG",1
"ARSK",1
"ARSL",1
"ARV1",1
"ARX",1
"ASAH1",1
"ASCC1",1
"ASCC3",1
"ASH1L",1
"ASIC2",1
"ASIC4-AS1",1
"ASIC5",1
"ASL",1
"ASNS",1
"ASPA",1
"ASPH",1
"ASPM",1
"ASPRV1",1
"ASS1",1
"ASTL",1
"ASTN2",1
"ASXL1",1
"ASXL2",1
"ASXL3",1
"ATAD1",1
"ATAD3A",1
"ATCAY",1
"ATF6",1
"ATG4D",1
"ATG7",1
"ATIC",1
"ATL1",1
"ATL3",1
"ATM",1
"ATN1",1
"ATOH1",1
"ATOH7",1
"ATP11A",1
"ATP11C",1
"ATP13A2",1
"ATP13A3",1
"ATP1A1",1
"ATP1A1-AS1",1
"ATP1A2",1
"ATP1A3",1
"ATP2A1",1
"ATP2A1-AS1",1
"ATP2A2",1
"ATP2B1",1
"ATP2B2",1
"ATP2B3",1
"ATP2C1",1
"ATP5F1A",1
"ATP5F1B",1
"ATP5F1D",1
"ATP5F1E",1
"ATP5MC3",1
"ATP5ME",1
"ATP5MK",1
"ATP5PO",1
"ATP6AP1",1
"ATP6AP2",1
"ATP6V0A1",1
"ATP6V0A2",1
"ATP6V0A4",1
"ATP6V0C",1
"ATP6V1A",1
"ATP6V1B1",1
"ATP6V1B2",1
"ATP6V1C1",1
"ATP7A",1
"ATP7B",1
"ATP8A1",1
"ATP8A2",1
"ATP8B1",1
"ATP8B1-AS1",1
"ATP9A",1
"ATR",1
"ATRIP",1
"ATRIP-TREX1",1
"ATRX",1
"ATXN10",1
"ATXN2",1
"ATXN7",1
"AUH",1
"AURKC",1
"AUTS2",1
"AVIL",1
"AVP",1
"AVPR2",1
"AXDND1",1
"AXIN1",1
