"Gene","Diseases"
"ADCY6","NEUROACTIVE LIGAND SIGNALING"
"AKT1","ALZHEIMER DISEASE; CHAGAS DISEASE; NON-ALCOHOLIC FATTY LIVER DISEASE; NEUROTROPHIN SIGNALING PATHWAY; ALCOHOLIC LIVER DISEASE"
"ALS2","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES"
"APBB1","ALZHEIMER DISEASE"
"APOE","ALZHEIMER DISEASE"
"APP","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE"
"BAX","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; PRION DISEASE; PARKINSON DISEASE; NON-ALCOHOLIC FATTY LIVER DISEASE; HUNTINGTON DISEASE; NEUROTROPHIN SIGNALING PATHWAY"
"C1QA","CHAGAS DISEASE; PRION DISEASE; CORONAVIRUS DISEASE - COVID-19; ALCOHOLIC LIVER DISEASE"
"C3","CHAGAS DISEASE; CORONAVIRUS DISEASE - COVID-19; ALCOHOLIC LIVER DISEASE; NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CALR","CHAGAS DISEASE"
"CAMK2A","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; PARKINSON DISEASE; NEUROTROPHIN SIGNALING PATHWAY"
"CAMK2B","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; PARKINSON DISEASE; NEUROTROPHIN SIGNALING PATHWAY"
"CAMK2D","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; PARKINSON DISEASE; NEUROTROPHIN SIGNALING PATHWAY"
"CASP8","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE; CHAGAS DISEASE; NON-ALCOHOLIC FATTY LIVER DISEASE; HUNTINGTON DISEASE; ALCOHOLIC LIVER DISEASE"
"CCKBR","NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CDC42","NON-ALCOHOLIC FATTY LIVER DISEASE; NEUROTROPHIN SIGNALING PATHWAY"
"CDK5","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE"
"CHRNA1","NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRNA2","NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRNA3","NEUROACTIVE LIGAND SIGNALING; NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRNA4","NEUROACTIVE LIGAND SIGNALING; NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRNB1","NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRNB2","NEUROACTIVE LIGAND SIGNALING; NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRNB4","NEUROACTIVE LIGAND SIGNALING; NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CHRND","NEUROACTIVE LIGAND-RECEPTOR INTERACTION"
"CTNNB1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE; ALCOHOLIC LIVER DISEASE"
"DCTN1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; HUNTINGTON DISEASE"
"DVL1","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE"
"DVL3","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE"
"EGFR","CORONAVIRUS DISEASE - COVID-19"
"EP300","HUNTINGTON DISEASE"
"FASN","PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES; ALZHEIMER DISEASE; CHAGAS DISEASE; NON-ALCOHOLIC FATTY LIVER DISEASE; ALCOHOLIC LIVER DISEASE; AUTOIMMUNE THYROID DISEASE; GRAFT-VERSUS-HOST DISEASE"
"FYN","PRION DISEASE"
