"Gene","Frequency.x","Frequency.y","Score","VUS_Count","VUS_Norm","Integrated_Score"
"NRXN1",13,13,26,1248,0.208765473402476,31.4279023084644
"RELN",10,10,20,1845,0.308631649381064,26.1726329876213
"CDK5",13,13,26,12,0.00200736032117765,26.0521913683506
"SHANK3",12,12,24,487,0.0814653730344597,25.955168952827
"APP",12,12,24,254,0.0424891267982603,25.0197390431582
"WNT5A",12,12,24,143,0.023921043827367,24.5741050518568
"NTRK2",11,11,22,386,0.0645700903312145,23.4205419872867
"OPHN1",11,11,22,225,0.037638006022081,22.8280361324858
"MEF2C",11,11,22,190,0.0317832050853128,22.6992305118769
"DMD",7,7,14,3198,0.534961525593844,21.4894613583138
"CTNNB1",10,10,20,323,0.0540314486450318,21.0806289729006
"NRCAM",10,10,20,193,0.0322850451656072,20.6457009033121
"PHOX2B",9,9,18,664,0.11107393777183,19.9993308798929
"NF1",5,5,10,5977,0.999832719973235,19.9983271997324
"LRRK2",7,7,14,2375,0.39729006356641,19.5620608899297
"NTRK1",9,9,18,450,0.0752760120441619,19.3549682167949
"SOX11",9,9,18,221,0.0369688859150217,18.6654399464704
"POU4F1",9,9,18,78,0.0130478420876547,18.2348611575778
"PTEN",7,7,14,1584,0.26497156239545,17.7096018735363
"MAP1B",8,8,16,411,0.0687520910003346,17.1000334560054
"PAFAH1B1",8,8,16,153,0.0255938440950151,16.4095015055202
"NGF",8,8,16,109,0.0182335229173637,16.2917363666778
"EPHB2",8,8,16,91,0.0152224824355972,16.2435597189696
"WNT7A",8,8,16,58,0.00970224155235865,16.1552358648377
"MYCBP2",7,7,14,654,0.109401137504182,15.5316159250585
"REST",7,7,14,477,0.0797925727668116,15.1170960187354
"ZNF335",7,7,14,367,0.0613917698226832,14.8594847775176
"PLXNB2",7,7,14,282,0.0471729675476748,14.6604215456674
"DCC",7,7,14,188,0.0314486450317832,14.440281030445
"CORIN",7,7,14,174,0.0291067246570759,14.4074941451991
"MFSD2A",7,7,14,86,0.0143860823017732,14.2014051522248
"BRSK1",7,7,14,66,0.0110404817664771,14.1545667447307
"GSK3B",7,7,14,31,0.00518568082970893,14.0725995316159
"ATP7A",6,6,12,872,0.145868183338909,13.7504182000669
"DOCK7",6,6,12,843,0.14101706256273,13.6922047507528
"RET",5,5,10,2053,0.343425894948143,13.4342589494814
"LRP2",5,5,10,1913,0.320006691201071,13.2000669120107
"TGFB2",6,6,12,401,0.0670792907326865,12.8049514887922
"ALK",4,4,8,3523,0.589327534292405,12.7146202743392
"SHH",6,6,12,327,0.054700568752091,12.6564068250251
"MAPT",6,6,12,248,0.0414854466376715,12.4978253596521
"NR4A2",6,6,12,146,0.0244228839076614,12.2930746068919
"DTNBP1",6,6,12,137,0.0229173636667782,12.2750083640013
"SIX3",6,6,12,134,0.0224155235864838,12.2689862830378
"CTNNA2",6,6,12,132,0.0220809635329542,12.2649715623955
"ARHGAP35",6,6,12,128,0.0214118434258949,12.2569421211107
"APOE",6,6,12,113,0.0189026430244229,12.2268317162931
"NOVA2",6,6,12,70,0.0117096018735363,12.1405152224824
"NDNF",6,6,12,57,0.00953496152559384,12.1144195383071
"WNT3",6,6,12,53,0.00886584141853463,12.1063900970224
"NPTN",6,6,12,29,0.00485112077617932,12.0582134493142
"TNF",6,6,12,10,0.00167280026764804,12.0200736032118
"CNTNAP2",5,5,10,899,0.150384744061559,11.5038474406156
"PCSK9",5,5,10,749,0.125292740046838,11.2529274004684
"ERCC6",5,5,10,613,0.102542656406825,11.0254265640683
"SHANK1",5,5,10,429,0.071763131482101,10.717631314821
"SPTBN4",5,5,10,420,0.0702576112412178,10.7025761124122
"LIG4",5,5,10,365,0.0610572097691536,10.6105720976915
"CLN3",5,5,10,357,0.0597189695550351,10.5971896955504
"CAMK2B",5,5,10,336,0.0562060889929742,10.5620608899297
"DVL1",5,5,10,330,0.0552024088323854,10.5520240883239
"DLL1",5,5,10,311,0.0520240883238541,10.5202408832385
"PAX6",5,5,10,244,0.0408163265306122,10.4081632653061
"MYT1L",5,5,10,241,0.0403144864503178,10.4031448645032
"NEUROD1",5,5,10,225,0.037638006022081,10.3763800602208
"PPT1",5,5,10,224,0.0374707259953162,10.3747072599532
"PRKN",5,5,10,220,0.0368016058882569,10.3680160588826
"SOX4",5,5,10,187,0.0312813650050184,10.3128136500502
"WNT1",5,5,10,169,0.0282703245232519,10.2827032452325
"STX1B",5,5,10,163,0.0272666443626631,10.2726664436266
"MINK1",5,5,10,160,0.0267648042823687,10.2676480428237
"SIX1",5,5,10,156,0.0260956841753095,10.2609568417531
"BRSK2",5,5,10,150,0.0250920040147206,10.2509200401472
"SOX2",5,5,10,103,0.0172298427567748,10.1722984275677
"ERBB3",5,5,10,88,0.0147206423553028,10.147206423553
"MARK2",5,5,10,84,0.0140515222482436,10.1405152224824
"TREM2",5,5,10,77,0.0128805620608899,10.1288056206089
"SOX3",5,5,10,75,0.0125460020073603,10.1254600200736
"BMP7",5,5,10,71,0.0118768819003011,10.118768819003
"ATOH1",5,5,10,63,0.0105386416861827,10.1053864168618
"LMX1A",5,5,10,61,0.0102040816326531,10.1020408163265
"NTNG2",5,5,10,59,0.00986952157912345,10.0986952157912
