"Gene","Frequency"
"CDK5",13
"NRXN1",13
"APP",12
"SHANK3",12
"WNT5A",12
"MEF2C",11
"NTRK2",11
"OPHN1",11
"CTNNB1",10
"NRCAM",10
"RELN",10
"NTRK1",9
"PHOX2B",9
"POU4F1",9
"SOX11",9
"EPHB2",8
"MAP1B",8
"NGF",8
"PAFAH1B1",8
"WNT7A",8
"BRSK1",7
"CORIN",7
"DCC",7
"DMD",7
"GSK3B",7
"LRRK2",7
"MFSD2A",7
"MYCBP2",7
"PLXNB2",7
"PTEN",7
"REST",7
"ZNF335",7
"APOE",6
"ARHGAP35",6
"ATP7A",6
"CTNNA2",6
"DOCK7",6
"DTNBP1",6
"MAPT",6
"NDNF",6
"NOVA2",6
"NPTN",6
"NR4A2",6
"SHH",6
"SIX3",6
"TGFB2",6
"TNF",6
"WNT3",6
"ARMCX5-GPRASP2",5
"ATOH1",5
"BMP7",5
"BRSK2",5
"CAMK2B",5
"CLN3",5
"CNTNAP2",5
"DLL1",5
"DVL1",5
"ERBB3",5
"ERCC6",5
"LIG4",5
"LMX1A",5
"LRP2",5
"MARK2",5
"MINK1",5
"MYT1L",5
"NEUROD1",5
"NEUROG1",5
"NF1",5
"NTNG2",5
"PALS1",5
"PAX6",5
"PCSK9",5
"PPT1",5
"PRKN",5
"RAB3A",5
"RET",5
"SHANK1",5
"SIX1",5
"SOX2",5
"SOX3",5
"SOX4",5
"SPTBN4",5
"STX1B",5
"TREM2",5
"WNT1",5
"ALK",4
"APBB1",4
"CAMK2A",4
"CDKL5",4
"CLN5",4
"CPNE1",4
"DCDC2",4
"DCTN1",4
"EIF2AK4",4
"FBXO7",4
"FGF20",4
"FGF8",4
"FGFR1",4
"FLRT3",4
"FMR1",4
"FXR1",4
"FZD4",4
"GLI2",4
"GRID2",4
"GRN",4
"IL1RAPL1",4
"INS",4
"KIFBP",4
"LRP6",4
"LRRC7",4
"LYN",4
"MAG",4
"MANF",4
"NSMF",4
"PARK7",4
"PAX2",4
"PINK1",4
"PPFIA3",4
"PRNP",4
"RUNX1",4
"SIN3A",4
"SLC18A2",4
