"","genes","Freq"
"1","USH2A",1585
"2","ABCA4",995
"3","MUTYH",913
"4","RYR2",844
"5","ALPL",532
"6","LMNA",514
"7","COL11A1",460
"8","CRB1",452
"9","FH",447
"10","AGL",434
"11","CACNA1S",434
"12","SPTA1",366
"13","ACADM",336
"14","GBA1",335
"15","HSPG2",295
"16","LYST",274
"17","ASPM",266
"18","NPHP4",255
"19","TSPAN1",229
"20","ACTN2",225
"21","CPT2",216
"22","LAMB3",214
"23","SDHB",202
"24","SLC2A1",199
"25","NTRK1",191
"26","MFN2",189
"27","NOTCH2",181
"28","RPE65",181
"29","CFH",174
"30","PCSK9",172
"31","LAMC2",171
"32","ARID1A",170
"33","MTHFR",170
"34","TNNT2",164
"35","MPL",163
"36","ATP1A2",161
"37","DPYD",159
"38","MPZ",157
"39","FLG",153
"40","HMCN1",151
"41","NPHS2",151
"42","ACTA1",150
"43","KIF1B",149
"44","SZT2",146
"45","ATP13A2",145
"46","F5",143
"47","MMACHC",141
"48","PPT1",141
"49","PLOD1",140
"50","AHDC1",137
"51","COQ8A",130
"52","MTOR",129
"53","ALG6",128
"54","CACNA1E",127
"55","DBT",124
"56","MACF1",121
"57","PEX10",119
"58","NLRP3",118
"59","P3H1",116
"60","PKLR",114
"61","POGZ",109
"62","CTSK",103
"63","SKI",103
"64","PLEKHG5",102
"65","AGRN",100
"66","HNRNPU",98
"67","RERE",97
"68","SELENON",94
"69","CDC73",93
"70","SDHC",92
"71","ADAMTSL4",90
"72","CASQ2",89
"73","MTR",85
"74","ADAR",84
"75","PHGDH",83
"76","HMGCL",80
"77","SDCCAG8",80
"78","DARS2",79
"79","FMO3",79
"80","COL9A2",78
"81","KDM5B",78
"82","SERPINC1",76
"83","CLCNKB",75
"84","HSD3B2",75
"85","TGFB2",75
"86","OBSCN",74
"87","CAMTA1",73
"88","EMC1",69
"89","VPS13D",68
"90","GJC2",66
"91","GJA8",65
"92","LDLRAP1",65
"93","PRDM16",65
"94","CENPF",64
"95","NEXN",63
"96","CHIT1",62
"97","DVL1",62
"98","CTRC",61
"99","DOCK7",60
"100","GALE",59
"101","GNPAT",59
"102","RAB3GAP2",59
"103","KCNJ10",58
"104","HJV",57
"105","KCNA2",57
"106","CD46",56
"107","SPEN",55
"108","IRF6",54
"109","TBCE",54
"110","NCF2",53
"111","ALDH4A1",52
"112","FUCA1",52
"113","PEX14",52
"114","ZBTB18",52
"115","ASH1L",51
"116","COPA",51
"117","KCND3",51
"118","KCNQ4",51
"119","CEP104",50
"120","PINK1",50
"121","CR2",49
"122","DHDDS",49
"123","EGLN1",49
"124","GATAD2B",49
"125","KCNH1",49
"126","BSND",48
"127","FLVCR1",48
"128","POMGNT1",48
"129","CSF3R",47
"130","LBR",47
"131","NMNAT1",46
"132","PPOX",45
"133","AP4B1",44
"134","GPSM2",44
"135","LEPR",44
"136","NFIA",44
"137","CFHR5",43
"138","GNB1",43
"139","HMGCS2",43
"140","STIL",43
"141","GLMN",42
"142","HAX1",42
"143","RPL5",42
"144","ORC1",40
"145","PTPRC",40
"146","ATAD3A",39
"147","B3GALT6",39
"148","FOXE3",39
"149","HPDL",39
"150","PEX19",39
"151","RIT1",39
"152","UROD",39
"153","SEMA4A",38
"154","SLC19A2",38
"155","AMPD2",37
"156","CHD5",37
"157","DDR2",37
"158","PBX1",37
"159","TPM3",37
"160","PGM1",36
"161","YARS1",36
"162","AGT",35
"163","KIF14",35
"164","MYOC",35
"165","NDUFS2",35
"166","REN",35
"167","AMPD1",34
"168","CHRNB2",34
"169","CNTN2",34
"170","EPB41",34
"171","NRAS",33
"172","VANGL1",33
"173","RFX5",32
"174","SLC35A3",32
"175","ST3GAL3",32
"176","PIGV",31
"177","B3GALNT2",30
"178","PYCR2",30
"179","TARDBP",30
"180","GJB3",29
"181","VPS45",29
"182","ATP1A1",28
"183","ESPN",28
"184","FMN2",27
"185","TARS2",27
"186","IARS2",26
"187","TOR1AIP1",26
"188","WDR26",26
"189","ADCY10",25
"190","IBA57",25
"191","KDM1A",25
"192","CLDN19",24
"193","EIF2B3",24
"194","PSEN2",24
"195","PTCH2",24
"196","RPL11",24
"197","SCP2",24
"198","SLC16A1",24
"199","TNNI3K",24
"200","TOE1",24
"201","GNAT2",23
"202","GORAB",23
"203","ATF6",22
"204","FLAD1",22
"205","AK2",21
"206","CDC14A",21
"207","DHCR24",21
"208","MSTO1",21
"209","PEX11B",21
"210","WARS2",21
"211","EPHA2",20
"212","MECR",20
"213","PIK3CD",20
"214","AKT3",19
"215","PUM1",19
"216","VWA1",19
"217","AGO1",18
"218","C8B",18
"219","H3-3A",18
"220","PRPF3",18
"221","GABRD",17
"222","GRHL3",17
"223","TBX19",17
"224","DEGS1",16
"225","KCNA3",16
"226","MYSM1",16
"227","TRIT1",16
"228","ZMPSTE24",16
"229","C8A",15
"230","KCNT2",15
"231","PRG4",15
"232","CASQ1",14
"233","CASZ1",14
"234","CDC42",14
"235","COX20",14
"236","DSTYK",14
"237","F13B",14
"238","GFI1",14
"239","GLUL",14
"240","NCSTN",14
"241","PADI6",14
"242","PRUNE1",14
"243","SLC30A10",14
"244","SYT2",14
"245","CFHR4",13
"246","DISP1",13
"247","DRAM2",13
"248","LHX4",13
"249","NGF",13
"250","PKP1",13
"251","ADPRS",12
"252","ARV1",12
"253","CD55",12
"254","NFASC",12
"255","RD3",12
"256","SLC35D1",12
"257","CELSR2",11
"258","ECM1",11
"259","EPRS1",11
"260","NUP133",11
"261","PARS2",11
"262","RAD54L",11
"263","SAMD11",11
"264","SLC6A9",11
"265","C1QB",10
"266","EDARADD",10
"267","FASLG",10
"268","LCK",10
"269","SF3B4",10
"270","TMEM240",10
"271","TMEM63A",10
"272","ATP2B4",9
"273","CCDST",9
"274","CFHR1",9
"275","CSDE1",9
"276","DNAJC6",9
"277","GJA5",9
"278","H6PD",9
"279","IL12RB2",9
"280","LORICRIN",9
"281","LRIG2",9
"282","MASP2",9
"283","MSH4",9
"284","PLXNA2",9
"285","SNIP1",9
"286","TMCO1",9
"287","TRIM63",9
"288","ZNF687",9
"289","CLCC1",8
"290","CLCNKA",8
"291","DDX59",8
"292","DHX9",8
"293","GALNT2",8
"294","GJB4",8
"295","GNAI3",8
"296","HFM1",8
"297","ISG15",8
"298","KANK4",8
"299","MUC1",8
"300","NAXE",8
"301","NEK2",8
"302","PARK7",8
"303","TNR",8
"304","ALG14",7
"305","ARF1",7
"306","CFAP74",7
"307","COG2",7
"308","DAP3",7
"309","DNAH14",7
"310","IRF2BP2",7
"311","LEFTY2",7
"312","LMX1A",7
"313","MFSD2A",7
"314","NCDN",7
"315","PLEKHM2",7
"316","PPCS",7
"317","RORC",7
"318","SLC9A1",7
"319","SUCO",7
